date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-02-02,37654,52,0,0,1,38
2018-02-02,37655,53,0,0,23,45
2018-02-02,37656,22,1,6,18,12
2018-02-02,37657,15,5,3,9,17
2018-02-02,37658,0,0,0,0,0
2018-02-02,37659,47,3,1,3,48
2018-02-02,37660,48,2,0,4,37
2018-02-02,37661,48,2,0,6,48
2018-02-02,37662,50,0,0,3,34
2018-02-02,37663,45,5,0,2,26
2018-02-02,37664,46,5,0,1,41
2018-02-02,37665,37,6,0,0,39
2018-02-02,37666,9,0,0,6,6
2018-02-02,37667,14,1,0,7,8
2018-02-02,37668,415,94,0,90,33
2018-02-02,37669,416,93,0,78,47
2018-02-02,37670,2,0,0,0,0
2018-02-02,37671,0,0,0,0,0
2018-02-02,37672,1,1,0,1,0
2018-02-02,37673,1,1,0,1,0
2018-02-02,37674,1,1,0,1,0
2018-02-02,37675,1,1,0,1,0
2018-02-02,46aa29e5-6066-4fba-99f3-fc05c6f560a0,0,0,0,0,0
