date,cid,ndelivered,ndrop,nclicked,nopened,,predict,,,,,,,,,,
2018-04-02,02d4bb32-24cb-452f-a772-c86545567098,4,0,1,3,,0,,,,,,,,,,
2018-04-02,3752385d-ed80-4f87-9354-f11812a92e7e,67,5,2,54,,61,,,,,,,,,,
2018-04-02,4a7189e1-be41-409f-9f5d-eb903a84d645,3,0,1,3,,1,,,,,,,,,,
2018-04-02,4b0eb15e-a560-452b-b08a-5100bc3f1672,2530,27,26,206,,327,,,,,,,,,,
2018-04-02,7b3d304e-195b-4a84-9452-40b5bcab20b7,123,13,2,101,,119,,,,,,,,,,
2018-04-02,972932bb-adc9-4088-bd9b-091bca60c681,5,0,0,2,,0,,,,,,,,,,
2018-04-02,db94c833-3edc-4166-ac45-0c0f86ee5875,5,0,0,2,,0,,,,date,ncid,ndelivered,ndrop,nclicked,nopened,predict
2018-04-02,e2e1267d-5423-4bb2-bb3d-e0e86fc5907e,5,0,1,5,,1,,,,2018-04-02,9,2746,45,37,380,509
2018-04-02,f9952c55-c785-472f-93f3-0802742463a9,4,0,4,4,,0,,,,2018-04-03,7,2986,84,49,606,2959
Sum,9,2746,45,37,380,,509,,,,2018-04-04,12,15754,15372,169,815,27894
,,,,,,,,,,,2018-04-05,8,44,1,8,32,18
2018-04-03,4549f298-5622-4e80-9929-30638ea40d76,4,0,0,2,,0,,,,2018-04-06,13,3041,752,52,713,1697
2018-04-03,5897b19c-e05a-4bd2-8477-4d94e65dd95b,7,0,0,5,,1,,,,2018-04-07,6,24,0,2,18,24
2018-04-03,a29d7832-1641-4627-9c72-6db1f0b37a78,2926,83,45,576,,2930,,,,2018-04-09,15,11432,2981,131,1578,6298
2018-04-03,b6e14c31-41eb-454e-b384-20ccbe6c722a,25,1,0,8,,19,,,,2018-04-10,11,3232,1628,51,682,4619
2018-04-03,d4dc736c-f9e5-44aa-b636-1c877eeebbcc,19,0,2,12,,8,,,,2018-04-11,4,125,20,2,51,131
2018-04-03,ef14a8d7-3fee-4687-bf11-c383bc817a79,1,0,0,1,,1,,,,,,,,,,
2018-04-03,f77eb140-f99f-48f5-8257-543c6c2fc566,4,0,2,2,,0,,,,,,,,,,
Sum,7,2986,84,49,606,,2959,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-04,4160c24f-078e-4160-a884-8881df1170f6,4,0,1,4,,4,,,,,,,,,,
2018-04-04,497af651-7d33-4649-b181-0fbad355af56,3,0,0,3,,2,,,,,,,,,,
2018-04-04,52aae662-c888-4ae3-ac01-89d4c9c1da7f,3,0,0,3,,2,,,,,,,,,,
2018-04-04,58f9604b-8590-4226-b2b3-8365a8dabb03,7,0,0,3,,0,,,,,,,,,,
2018-04-04,5a85529e-ea85-4ebe-9005-28c5dde27d7b,9,0,0,2,,0,,,,,,,,,,
2018-04-04,6a19effd-fc04-4943-8484-3681b9d0e3b5,584,147,12,227,,101,,,,,,,,,,
2018-04-04,75ff7f3f-1bde-4cf2-b406-761df6c6268c,5,1,0,1,,0,,,,,,,,,,
2018-04-04,7714d696-63cc-4dd9-b0c1-c2819ccdcfb5,14898,15136,149,442,,27533,,,,,,,,,,
2018-04-04,cab59d56-7570-40be-a4bf-5e03ad9ee107,8,2,0,2,,0,,,,,,,,,,
2018-04-04,cf4b46ec-b109-4dc4-89bc-bfcf21aa2692,138,1,6,113,,96,,,,,,,,,,
2018-04-04,e15c39cf-2f0d-4dba-a58d-9b188e358c4a,88,85,0,10,,156,,,,,,,,,,
2018-04-04,fc625880-db0d-46af-8899-bcfca02927f6,7,0,1,5,,0,,,,,,,,,,
Sum,12,15754,15372,169,815,,27894,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-05,17e0169f-c891-4ed3-8fa5-2d57cb67cb8a,8,0,0,6,,1,,,,,,,,,,
2018-04-05,3c5cfcb8-cd21-4beb-b1d6-2342cdb8bdc6,4,0,2,2,,0,,,,,,,,,,
2018-04-05,6ff84c55-86e3-48a6-8952-68144a7d8154,8,0,3,7,,1,,,,,,,,,,
2018-04-05,a16735a2-e6b9-48fc-9ac8-0a0f18e1a3dd,4,0,0,4,,4,,,,,,,,,,
2018-04-05,cc924ca6-f40d-4d32-981e-9540e55d9352,4,0,1,2,,0,,,,,,,,,,
2018-04-05,e1cb4173-86fe-4672-a7a6-347e4dbe9177,4,0,2,4,,4,,,,,,,,,,
2018-04-05,e9f0a38a-60e9-4cca-a67d-74eba80cae28,8,1,0,5,,8,,,,,,,,,,
2018-04-05,feba1299-3c2f-460e-a46f-e6f7d03f4125,4,0,0,2,,0,,,,,,,,,,
Sum,8,44,1,8,32,,18,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-06,176fde94-fb79-483a-9b18-6cac6f4a1fa2,120,17,6,47,,55,,,,,,,,,,
2018-04-06,366012b7-591e-4a8c-87d3-cd0b2be094df,14,0,2,5,,4,,,,,,,,,,
2018-04-06,50e09f7b-bd03-48b5-8a8c-a9c245cad20b,582,149,4,181,,92,,,,,,,,,,
2018-04-06,6419f6a1-c574-47c7-8741-0854bdaf7519,15,0,3,9,,6,,,,,,,,,,
2018-04-06,6840990f-5838-41fc-b5aa-eda681f468c7,14,0,3,9,,12,,,,,,,,,,
2018-04-06,71686962-89ca-4bca-bd21-322af1a2b52e,95,15,2,7,,51,,,,,,,,,,
2018-04-06,7773036e-430f-41e2-a449-3df679bf9d0a,2,0,0,1,,1,,,,,,,,,,
2018-04-06,87b2764f-67f9-453b-824b-df3229c79fc2,0,0,0,0,,0,,,,,,,,,,
2018-04-06,a856105c-9c71-4ca2-9e3c-f02625c86a84,10,1,3,6,,10,,,,,,,,,,
2018-04-06,b6711e5e-d7e9-4a1e-87d3-6143ac761894,15,0,0,3,,6,,,,,,,,,,
2018-04-06,e614733e-7db4-479a-bc3a-5e1070973670,3,0,1,2,,3,,,,,,,,,,
2018-04-06,ebc3212f-61c7-4dcf-81a1-cb9c48acb3dc,0,0,0,0,,0,,,,,,,,,,
2018-04-06,f746e610-2e76-4044-af5a-c8b439ebab4e,2171,570,28,443,,1457,,,,,,,,,,
Sum,13,3041,752,52,713,,1697,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-07,241c39ba-1a5b-4feb-810c-72bd2d7e30c7,4,0,0,2,,4,,,,,,,,,,
2018-04-07,30677d06-0ed9-4df0-80d1-af238bdb9993,4,0,1,2,,4,,,,,,,,,,
2018-04-07,5b1c30cc-f208-4b56-8948-01abc75a11fc,4,0,1,4,,4,,,,,,,,,,
2018-04-07,75ab8770-0f2f-41ee-b65b-9013a085f98f,4,0,0,4,,4,,,,,,,,,,
2018-04-07,aa9f9a1c-d09b-41ae-bc45-357bafa8b8b5,4,0,0,4,,4,,,,,,,,,,
2018-04-07,ea7d8b1b-aaa1-4eff-93cc-a4d2ffca62f6,4,0,0,2,,4,,,,,,,,,,
Sum,6,24,0,2,18,,24,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-09,03c7d276-0778-4929-90aa-4d80cadb851e,1,4,0,1,,3,,,,,,,,,,
2018-04-09,1329409f-4c1a-4e77-be24-dae046c9bbd1,1,1,0,0,,1,,,,,,,,,,
2018-04-09,1a5cda4d-50be-447f-b2d6-a63d7eacd504,3382,1275,28,636,,2050,,,,,,,,,,
2018-04-09,337aa3f2-5da4-453c-977e-a0cb67f9a8f8,2,0,0,1,,1,,,,,,,,,,
2018-04-09,4c30d448-4b83-4558-a568-4c0f08fa858c,2,0,1,1,,0,,,,,,,,,,
2018-04-09,5308a87e-9b85-4d59-a280-4a8ac49bf276,164,0,3,8,,20,,,,,,,,,,
2018-04-09,5f66d12d-3a27-41f5-972d-4c6c90813dd6,2579,95,72,589,,402,,,,,,,,,,
2018-04-09,a21392e4-f3a0-41d9-80c6-c7ecd015ca97,3384,1273,11,255,,2519,,,,,,,,,,
2018-04-09,b6dea720-6d4d-4d28-bc35-090c345ffd44,0,0,1,1,,0,,,,,,,,,,
2018-04-09,c9c03262-8d6e-4941-b4a1-54a322bd34df,0,3,2,15,,17,,,,,,,,,,
2018-04-09,d103b7cb-24a5-4f86-81d9-37cf50510550,4,1,0,2,,2,,,,,,,,,,
2018-04-09,d5f362ec-4870-4192-97af-b0e9e8e68ab1,1712,322,8,47,,1230,,,,,,,,,,
2018-04-09,e7cf9c53-7724-4225-82ca-a555fdb8de9c,162,0,2,6,,15,,,,,,,,,,
2018-04-09,f4daacc4-a0a0-4e7c-8496-e73ef8612b89,0,0,1,1,,0,,,,,,,,,,
2018-04-09,ff7547d8-ec2b-43c5-9b12-61c7c141ee23,39,7,2,15,,38,,,,,,,,,,
Sum,15,11432,2981,131,1578,,6298,,,,,,,,,,
,,,,,,,,,,,,,,,,,
2018-04-10,0099ca01-8d4b-4412-bff1-d65ba1bb5043,4,0,1,4,,4,,,,,,,,,,
2018-04-10,05a51669-d1e6-4a73-a6e3-4a3e6bd8ddd1,91,7,0,70,,88,,,,,,,,,,
2018-04-10,22bd50d0-4be1-48cf-bdd0-f6a68f5eb6b7,4,0,1,4,,4,,,,,,,,,,
2018-04-10,3a90d75e-f480-469e-a380-f568caecd6f3,2858,1601,44,380,,4267,,,,,,,,,,
2018-04-10,543aee3a-a0d1-4867-a797-13ca9c3a5867,4,0,0,4,,4,,,,,,,,,,
2018-04-10,723453fc-1fcd-4c84-981c-3928f625b619,4,0,1,2,,4,,,,,,,,,,
