date,cid,ndelivered,ndrop,nclicked,nopened,predict
2018-03-13,01e27298-1b16-4fe7-99a3-88fccb6bc5c2,1,0,0,1,0
2018-03-13,054724b1-a156-41a0-a11c-dc8eb707ebd4,1,0,0,1,0
2018-03-13,0ccd5d49-fe9b-4355-b27d-32ee8bc72219,1,0,0,1,0
2018-03-13,1836f5c2-ce83-45d4-896d-8877853e027d,1,0,0,1,0
2018-03-13,1e493087-46bb-4e67-a20a-43699b8e1742,1,0,0,1,0
2018-03-13,30fe048e-82b7-4c23-a4d8-77c326f8bea8,1,0,0,1,0
2018-03-13,368681e2-9914-42de-9099-1f0dfe69f93a,1,0,0,1,0
2018-03-13,3a7b65c7-7c40-42db-a262-772c32271b5c,1,0,0,1,0
2018-03-13,3fcf7d8f-3267-40b4-8141-2333f879df8f,1,0,0,1,0
2018-03-13,41ce74e7-7467-42f8-adbd-50ca0c897b5c,1,0,0,1,0
2018-03-13,462e1dc1-318f-4123-8d22-eca87ce83a06,1,0,0,1,0
2018-03-13,46ae432b-9e44-41e6-b7cf-f8c52fc1b41d,1,0,0,1,0
2018-03-13,4719ce69-6abc-4741-a32a-3ed1ee75d704,1,0,0,1,0
2018-03-13,50b5b9cf-0b23-4c33-aee3-3c21cf0f2d41,1,0,0,1,0
2018-03-13,5f9fd46e-43b1-4eb0-98f7-10731094a84e,9,1,0,5,0
2018-03-13,6a3b4f5e-914c-4c7c-a32a-6e11f4435223,1,0,0,1,0
2018-03-13,6eafc795-f82a-4539-99b7-deffb4a03080,1,0,0,1,0
2018-03-13,6f088b47-2c7e-428f-a5f3-4801bb0c85a4,721,0,5,76,50
2018-03-13,70d97f14-46c2-440a-ad43-3d16436853c7,1,0,0,1,0
2018-03-13,732c223f-30ae-4b98-b309-5ab031519f54,1,0,0,1,0
2018-03-13,79153a3e-b84d-4113-9b26-92a8ce6eb0e4,1165,1115,15,114,829
2018-03-13,7a7e6046-9b65-424e-b214-af51a1a558f1,1,0,0,1,0
2018-03-13,7ab98723-6d5d-41a7-8dba-fe3ed7269350,1,0,0,1,0
2018-03-13,860b954c-4ecc-4282-a19c-ec1008a46743,1,0,0,1,0
2018-03-13,8b0b7acb-0051-4ea7-b1ac-434b0f90bcc5,1,0,0,1,0
2018-03-13,8d2fc517-7c26-413f-b8f4-71e5057cb692,4,0,1,2,0
2018-03-13,8ef1237e-20c6-4c50-bebe-8bc65461dd30,1,0,0,1,0
2018-03-13,9358030b-c71e-4b7e-8d93-bbe2a8a1da44,1,0,0,1,0
2018-03-13,9433574d-182c-46e7-a292-ba7a484e86c7,1,0,0,1,0
2018-03-13,96d93510-f9aa-466d-aaa3-c3c28a691afb,1,0,0,1,0
2018-03-13,9d0b09a5-8662-400b-94f4-25e8d7f50b9a,10,0,0,4,0
2018-03-13,9d945441-4a2d-48f2-ad16-486c1824900f,1,0,0,1,0
2018-03-13,9e1909f2-c3fa-4e28-9187-a3e2ae0edb64,1,0,0,1,0
2018-03-13,9e9fabcf-fae4-4a15-b94f-eeb82aba123a,10,0,0,3,0
2018-03-13,a5c413c0-94b3-491e-9ab2-48cc1ed5feb4,1,0,0,1,0
2018-03-13,a6f77c16-d18d-49cc-a36b-e4416533be84,1,0,0,1,0
2018-03-13,b458fab7-d4b4-48c5-9e4d-1402042b3740,40,2,5,20,16
2018-03-13,ca59323a-d031-4f3e-93fb-fd6b920d4386,1,0,0,1,0
2018-03-13,d029b691-b7d5-40d5-ba9b-8383135394c7,1,0,0,1,0
2018-03-13,d9537f63-052b-4553-97e5-20c06b13eb7c,1,0,0,1,0
2018-03-13,d9de6e1c-594f-418b-a443-464b73d5d265,1,0,0,1,0
2018-03-13,dc6ec0f2-b91f-4a16-9123-ff2feb7e8741,1,0,0,1,0
2018-03-13,ddba4ef5-6675-41bf-8596-354d4256cd52,554,0,9,88,54
2018-03-13,e1706767-42fa-490d-a397-39f0588882f7,24,1,5,15,2
2018-03-13,e1f62ffc-0901-43db-8a22-f39c461acb61,1,0,0,1,0
2018-03-13,e53f6bc3-253d-460f-b18e-1ab4a07c618d,1,0,0,1,0
2018-03-13,ef1d682f-971f-4b26-9453-8fc4adc4ddd4,1,0,0,1,0
2018-03-13,f94cb6c5-acf6-423a-b9e7-82c4e2e53907,1,0,0,1,0
